                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5819,                 3.6879,                 1.7302,                0.01056,                0.79167,                0.03082,                0.01495,                   1.33,                 3.4049,                 1.8299,                  2e-05,                  2e-05,                  2e-05
                      2,                 1.5534,                 3.7028,                  1.799,                0.01167,                  0.875,                0.05575,                0.01618,                 1.3216,                 3.4156,                 1.8286,             5.9881e-05,             5.9881e-05,             5.9881e-05
                      3,                 1.5172,                 4.8965,                 1.8215,                0.01167,                  0.875,                0.02946,                0.01285,                 1.3168,                  3.411,                 1.8158,             9.9604e-05,             9.9604e-05,             9.9604e-05
                      4,                 1.2467,                 3.7669,                 1.5229,                0.01222,                0.91667,                0.14237,                0.06329,                  1.146,                 3.1917,                 1.5688,             0.00013917,             0.00013917,             0.00013917
                      5,                  1.089,                 3.5385,                  1.399,                0.01222,                0.91667,                0.13864,                0.09203,                 1.0966,                 3.1837,                 1.5356,             0.00017857,             0.00017857,             0.00017857
                      6,                  1.028,                 2.9846,                 1.2384,                0.01333,                      1,                0.16846,                0.06519,                 1.1155,                 3.2239,                 1.5461,             0.00021782,             0.00021782,             0.00021782
                      7,                 1.0402,                 3.0582,                 1.2908,                0.01333,                      1,                 0.2564,                0.13112,                 1.0607,                 3.2147,                 1.4873,             0.00025691,             0.00025691,             0.00025691
                      8,                0.97733,                 3.5831,                 1.3427,                0.01278,                0.95833,                0.36862,                0.18813,                 1.0652,                 3.1753,                 1.4926,             0.00029584,             0.00029584,             0.00029584
                      9,                0.91726,                 3.0664,                 1.2307,                0.01333,                      1,                0.47952,                0.24729,                 1.0759,                 3.1175,                 1.5595,             0.00033461,             0.00033461,             0.00033461
                     10,                 1.0295,                  2.858,                 1.3526,                0.01333,                      1,                0.47089,                0.24018,                 1.1073,                 3.1207,                 1.5358,             0.00037323,             0.00037323,             0.00037323
                     11,                 1.0251,                 2.4524,                 1.2146,                0.01333,                      1,                0.37957,                0.13312,                 1.5623,                  3.338,                 1.8061,             0.00041168,             0.00041168,             0.00041168
                     12,                 1.1856,                  2.732,                 1.4492,                0.01333,                      1,                0.37957,                0.13312,                 1.5623,                  3.338,                 1.8061,             0.00044998,             0.00044998,             0.00044998
                     13,                0.92791,                 2.3407,                 1.1265,                0.01333,                      1,                0.42805,                0.20617,                 1.2431,                 3.2162,                 1.6327,             0.00048812,             0.00048812,             0.00048812
                     14,                 1.0802,                 2.4343,                 1.3246,                0.01333,                      1,                0.51536,                0.23124,                 1.3678,                 3.1491,                 1.7916,              0.0005261,              0.0005261,              0.0005261
                     15,                 1.1039,                 2.4322,                 1.3573,                0.01333,                      1,                0.51536,                0.23124,                 1.3678,                 3.1491,                 1.7916,             0.00056392,             0.00056392,             0.00056392
                     16,                0.92778,                 2.4658,                 1.2172,                0.01333,                      1,                0.71826,                0.34687,                 1.2363,                 3.1037,                 1.7231,             0.00060159,             0.00060159,             0.00060159
                     17,                 1.1214,                 2.2518,                 1.3527,                0.01333,                      1,                0.61115,                0.35126,                 1.1374,                 3.1111,                 1.6627,             0.00063909,             0.00063909,             0.00063909
                     18,                 1.1359,                 2.0734,                 1.3231,                0.01333,                      1,                0.61115,                0.35126,                 1.1374,                 3.1111,                 1.6627,             0.00067644,             0.00067644,             0.00067644
                     19,                 0.9665,                 2.2644,                 1.3264,                0.01333,                      1,                0.53199,                0.29985,                 1.1071,                 3.1595,                 1.5987,             0.00071363,             0.00071363,             0.00071363
                     20,                   1.06,                 2.0608,                 1.3279,                0.01333,                      1,                0.53199,                0.29985,                 1.1071,                 3.1595,                 1.5987,             0.00075066,             0.00075066,             0.00075066
                     21,                 1.0194,                 2.1881,                 1.2685,                0.01333,                      1,                0.67299,                0.37241,                 1.1597,                 3.0936,                 1.7148,             0.00078753,             0.00078753,             0.00078753
                     22,                  1.216,                 2.3828,                 1.5384,                0.01333,                      1,                0.67299,                0.37241,                 1.1597,                 3.0936,                 1.7148,             0.00082424,             0.00082424,             0.00082424
                     23,                  1.111,                 2.1092,                 1.4029,                0.01333,                      1,                0.71361,                0.38445,                 1.4652,                 3.1583,                 1.9352,              0.0008608,              0.0008608,              0.0008608
                     24,                  1.108,                 2.0426,                 1.2764,                0.01333,                      1,                0.71361,                0.38445,                 1.4652,                 3.1583,                 1.9352,             0.00089719,             0.00089719,             0.00089719
