                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 20.681,                      0,                      0,                      0,                      0,                      0,                      0,                 12.062,                      0,                  2e-05,                  2e-05,                  2e-05
                      2,                      0,                 20.656,                      0,                      0,                      0,                      0,                      0,                      0,                 12.062,                      0,             5.9406e-05,             5.9406e-05,             5.9406e-05
                      3,                      0,                 20.654,                      0,                      0,                      0,                      0,                      0,                      0,                 12.062,                      0,              9.802e-05,              9.802e-05,              9.802e-05
                      4,                      0,                 20.677,                      0,                      0,                      0,                      0,                      0,                      0,                 12.062,                      0,             0.00013584,             0.00013584,             0.00013584
                      5,                      0,                 20.649,                      0,                      0,                      0,                      0,                      0,                      0,                 12.062,                      0,             0.00017287,             0.00017287,             0.00017287
                      6,                      0,                 20.549,                      0,                      0,                      0,                      0,                      0,                      0,                 12.062,                      0,             0.00020911,             0.00020911,             0.00020911
                      7,                      0,                 20.511,                      0,                      0,                      0,                      0,                      0,                      0,                 12.062,                      0,             0.00024456,             0.00024456,             0.00024456
                      8,                      0,                 20.359,                      0,                      0,                      0,                      0,                      0,                      0,                 12.062,                      0,             0.00027921,             0.00027921,             0.00027921
                      9,                      0,                 20.254,                      0,                      0,                      0,                      0,                      0,                      0,                 12.062,                      0,             0.00031307,             0.00031307,             0.00031307
                     10,                      0,                 20.224,                      0,                      0,                      0,                      0,                      0,                      0,                 12.062,                      0,             0.00034614,             0.00034614,             0.00034614
                     11,                      0,                 20.023,                      0,                      0,                      0,                      0,                      0,                      0,                 12.062,                      0,             0.00037842,             0.00037842,             0.00037842
                     12,                      0,                 19.998,                      0,                      0,                      0,                      0,                      0,                      0,                 12.062,                      0,             0.00040991,             0.00040991,             0.00040991
                     13,                      0,                 19.786,                      0,                      0,                      0,                      0,                      0,                      0,                 12.062,                      0,              0.0004406,              0.0004406,              0.0004406
                     14,                      0,                 19.786,                      0,                      0,                      0,                      0,                      0,                      0,                 12.062,                      0,              0.0004705,              0.0004705,              0.0004705
                     15,                      0,                 19.738,                      0,                      0,                      0,                      0,                      0,                      0,                 12.062,                      0,             0.00049961,             0.00049961,             0.00049961
                     16,                      0,                  19.55,                      0,                      0,                      0,                      0,                      0,                      0,                 12.062,                      0,             0.00052793,             0.00052793,             0.00052793
                     17,                      0,                 19.563,                      0,                      0,                      0,                      0,                      0,                      0,                 12.062,                      0,             0.00055546,             0.00055546,             0.00055546
                     18,                      0,                 19.418,                      0,                      0,                      0,                      0,                      0,                      0,                 12.062,                      0,             0.00058219,             0.00058219,             0.00058219
                     19,                      0,                 19.242,                      0,                      0,                      0,                      0,                      0,                      0,                 12.062,                      0,             0.00060813,             0.00060813,             0.00060813
                     20,                      0,                 19.209,                      0,                      0,                      0,                      0,                      0,                      0,                 12.062,                      0,             0.00063328,             0.00063328,             0.00063328
                     21,                      0,                 19.216,                      0,                      0,                      0,                      0,                      0,                      0,                 12.062,                      0,             0.00065764,             0.00065764,             0.00065764
                     22,                      0,                 18.843,                      0,                      0,                      0,                      0,                      0,                      0,                 12.062,                      0,             0.00068121,             0.00068121,             0.00068121
                     23,                      0,                 18.879,                      0,                      0,                      0,                      0,                      0,                      0,                 12.062,                      0,             0.00070398,             0.00070398,             0.00070398
                     24,                      0,                 18.895,                      0,                      0,                      0,                      0,                      0,                      0,                 12.062,                      0,             0.00072596,             0.00072596,             0.00072596
                     25,                      0,                 18.889,                      0,                      0,                      0,                      0,                      0,                      0,                 12.062,                      0,             0.00074715,             0.00074715,             0.00074715
                     26,                      0,                 18.416,                      0,                      0,                      0,                      0,                      0,                      0,                 12.062,                      0,             0.00076755,             0.00076755,             0.00076755
                     27,                      0,                 18.416,                      0,                      0,                      0,                      0,                      0,                      0,                 12.062,                      0,             0.00078716,             0.00078716,             0.00078716
                     28,                      0,                  18.45,                      0,                      0,                      0,                      0,                      0,                      0,                 12.062,                      0,             0.00080597,             0.00080597,             0.00080597
                     29,                      0,                  18.44,                      0,                      0,                      0,                      0,                      0,                      0,                 12.062,                      0,             0.00082399,             0.00082399,             0.00082399
                     30,                      0,                 18.414,                      0,                      0,                      0,                      0,                      0,                      0,                 12.062,                      0,             0.00084122,             0.00084122,             0.00084122
                     31,                      0,                 18.006,                      0,                      0,                      0,                      0,                      0,                      0,                 12.062,                      0,             0.00085766,             0.00085766,             0.00085766
                     32,                      0,                 18.006,                      0,                      0,                      0,                      0,                      0,                      0,                 12.062,                      0,             0.00087331,             0.00087331,             0.00087331
                     33,                      0,                 17.957,                      0,                      0,                      0,                      0,                      0,                      0,                 12.062,                      0,             0.00088816,             0.00088816,             0.00088816
                     34,                      0,                 18.003,                      0,                      0,                      0,                      0,                      0,                      0,                 12.062,                      0,             0.00090222,             0.00090222,             0.00090222
                     35,                      0,                 18.047,                      0,                      0,                      0,                      0,                      0,                      0,                 12.062,                      0,             0.00091549,             0.00091549,             0.00091549
                     36,                      0,                 17.983,                      0,                      0,                      0,                      0,                      0,                      0,                 12.086,                      0,             0.00092797,             0.00092797,             0.00092797
                     37,                      0,                  17.49,                      0,                      0,                      0,                      0,                      0,                      0,                 12.086,                      0,             0.00093966,             0.00093966,             0.00093966
                     38,                      0,                 17.498,                      0,                      0,                      0,                      0,                      0,                      0,                 12.086,                      0,             0.00095055,             0.00095055,             0.00095055
                     39,                      0,                 17.501,                      0,                      0,                      0,                      0,                      0,                      0,                 12.086,                      0,             0.00096065,             0.00096065,             0.00096065
                     40,                      0,                 17.507,                      0,                      0,                      0,                      0,                      0,                      0,                 12.086,                      0,             0.00096996,             0.00096996,             0.00096996
                     41,                      0,                 17.535,                      0,                      0,                      0,                      0,                      0,                      0,                 12.086,                      0,             0.00097848,             0.00097848,             0.00097848
